key	GCF_005080725_1	GCF_005080745_1	GCF_005080765_1	GCF_005080825_1	GCF_005080845_1	GCF_005080885_1	GCF_005081185_1	GCF_005081705_1	GCF_005081945_1	GCF_005082365_1	GCF_005082825_1	GCF_005083105_1	GCF_005083345_1	GCF_005083565_1	GCF_009068925_1	GCF_009069125_1	GCF_900560745_1	GCF_900698845_1	GCF_900698865_1	GCF_900698895_1	GCF_900698905_1	GCF_900698915_1	GCF_900698945_1	GCF_900698975_1	GCF_900699025_1	GCF_900699035_1
GCF_005080725_1	1.0	0.708323654822335	0.7112121118012423	0.7095947804878049	0.7116621917808219	0.7136917194570137	0.7154253153153154	0.7129782075471698	0.7143186818181819	0.7156917857142857	0.7125699549549549	0.7146114912280702	0.7123784070796461	0.7158615	0.7109262264150943	0.7138596521739129	0.709661125	0.7105364968152865	0.7110209638554217	0.712076631016043	0.7097486285714285	0.7128490425531916	0.7127244198895027	0.70951377245509	0.7087310625000001	0.7138152808988764
GCF_005080745_1	0.7118817010309278	1.0	0.717539898989899	0.714227962085308	0.7171828125	0.7189274918566776	0.7208964864864865	0.719054657980456	0.7188459119496856	0.7211294480519481	0.7180471698113208	0.7188841904761903	0.7165744554455447	0.7197535202492212	0.713076220735786	0.7186860967741936	0.7115915853658537	0.7105622485207101	0.7093835838150289	0.714306755319149	0.7116022222222221	0.712901887755102	0.7124875690607734	0.7111316666666666	0.7121667741935483	0.7123753260869566
GCF_005080765_1	0.7111141176470589	0.7173643915343915	1.0	0.7191334010152285	0.7179510138248848	0.7189884474885844	0.72054014354067	0.7156519545454546	0.7193396788990826	0.7171963596491228	0.717827264573991	0.7186737168141594	0.7178373488372094	0.718653076923077	0.7159918536585366	0.7189449773755656	0.7106747204968944	0.7135419333333334	0.7120318238993711	0.7142793220338983	0.7094736969696969	0.7151679213483146	0.711240058479532	0.7138455033557046	0.7103214379084969	0.7148548823529413
GCF_005080825_1	0.7108485405405406	0.7174933155080214	0.7134609852216748	1.0	0.711478972332016	0.7165570119521912	0.7161816877637132	0.7151561344537816	0.7167401639344262	0.7158979838709678	0.7142901162790698	0.7140238059701493	0.714419568627451	0.7170939199999999	0.7123197119341564	0.7151268060836502	0.7095751162790697	0.7083223391812866	0.7100665895953757	0.7114158851674641	0.7101383615819209	0.710751737089202	0.7121925130890051	0.7107430813953488	0.7101154166666668	0.7103990452261307
GCF_005080845_1	0.7127814864864865	0.7153987619047619	0.7139910256410257	0.7123888593155893	1.0	0.7728258909090908	0.775655559322034	0.7831608166666668	0.7841369558101472	0.7807319554030875	0.7831925695581013	0.7965907980456026	0.7950930016313213	0.7879481530782029	0.7883302192242834	0.8040613911620293	0.7116103743315508	0.7098201587301588	0.7125050777202071	0.7138506046511628	0.7130080423280423	0.7162498550724637	0.7132792610837438	0.7117840211640212	0.7116701081081083	0.7160145728643217
GCF_005080885_1	0.7145798230088495	0.7189495333333333	0.7175999530516433	0.7163997647058825	0.7746123593466426	1.0	0.7882073741007194	0.804038219895288	0.7978501745200699	0.7994040209790211	0.7957881833910035	0.7637548080438756	0.7619543406593406	0.8194170205479452	0.7575987855787477	0.7676079044117647	0.7152559782608695	0.7171139428571428	0.7156111602209945	0.7149494222222222	0.7156846195652175	0.7175333796296297	0.7163088613861386	0.716244861878453	0.7172385057471264	0.7150904761904763
GCF_005081185_1	0.7146059360730594	0.7157090353697749	0.7169219718309858	0.7175388235294118	0.7755220707070707	0.7869577075812275	1.0	0.8026684113712375	0.8047467161716172	0.7978420136518771	0.8568411001642037	0.7640253391304349	0.7612142857142857	0.8093314237855945	0.7565843928571429	0.7674788000000001	0.7137998830409358	0.715504	0.7158216959064327	0.7160133663366335	0.717233908045977	0.7168765671641792	0.7175680110497237	0.715977117647059	0.7146215476190476	0.7174204210526317
GCF_005081705_1	0.7116541592920353	0.7168029032258064	0.7141374074074074	0.7152308571428573	0.7829481561461795	0.8033445246478874	0.8034081512605041	1.0	0.816882231139647	0.838119967266776	0.8144243225806451	0.7669636850921272	0.7662825850340137	0.8348856726094003	0.7606899825479931	0.7714750505050506	0.7149717365269461	0.7149501190476191	0.7157673214285714	0.7172894871794873	0.7145895999999999	0.7166870707070707	0.7137075401069519	0.7170047852760736	0.7159351533742332	0.7168037765957446
GCF_005081945_1	0.7142317777777778	0.718277320872274	0.7161809170305676	0.7153229343629345	0.7838071288743883	0.7969619896193773	0.8057998837209303	0.8176261403508772	1.0	0.8104297194719472	0.817911364365971	0.7692976961602672	0.768040185810811	0.8242491961414791	0.7623333851468048	0.7743169360269359	0.7140815168539326	0.7145663128491618	0.7151133510638299	0.715333594470046	0.7134482989690721	0.7155976785714286	0.7144541062801932	0.7153318032786885	0.7137703314917129	0.7163904500000001
GCF_005082365_1	0.7153639285714286	0.7178561290322582	0.7166906696428572	0.719562033898305	0.7804829863481229	0.7987397695035462	0.7973365704584042	0.8393339999999999	0.8096930398671097	1.0	0.806836225165563	0.7680379020979021	0.7656670104895106	0.8245809666666667	0.7607860992907801	0.7715749652777778	0.7174668421052632	0.7179339181286551	0.7163927932960894	0.7189717999999999	0.7181054748603352	0.716952270531401	0.71605171875	0.7174668	0.7167287931034483	0.7182314136125654
