layers	total_length	gc_content	percent_completion	percent_redundancy	num_genes	avg_gene_length	num_genes_per_kb	singleton_gene_clusters	num_gene_clusters
GCF_005080725_1	428356	0.248007937897624	85.9154929577465	1.40845070422535	389	969.894601542416	0.908123149903351	105	389
GCF_005080745_1	616452	0.256601463409869	88.7323943661972	1.40845070422535	548	923.748175182482	0.888958102171783	148	542
GCF_005080765_1	548691	0.227167074720302	88.7323943661972	1.40845070422535	451	950.90022172949	0.821956255889016	144	447
GCF_005080825_1	534071	0.225961268278428	88.7323943661972	1.40845070422535	474	949.677215189873	0.887522445517544	170	473
GCF_005080845_1	653824	0.252545139414744	91.5492957746479	2.8169014084507	616	946.772727272727	0.942149569303054	27	608
GCF_005080885_1	632796	0.243333038288402	91.5492957746479	1.40845070422535	565	963.669026548673	0.892862786743279	19	564
GCF_005081185_1	652461	0.249499203506115	88.7323943661972	1.40845070422535	597	926.140703517588	0.914997218224538	18	588
GCF_005081705_1	652809	0.260871563357389	90.1408450704225	1.40845070422535	607	955.784184514003	0.929827866956491	10	598
GCF_005081945_1	654826	0.252767595307918	91.5492957746479	1.40845070422535	607	960.612850082372	0.926963804125065	13	602
GCF_005082365_1	641024	0.245443099394493	90.1408450704225	1.40845070422535	592	954.699324324324	0.923522364217252	7	581
GCF_005082825_1	656629	0.250383877159309	91.5492957746479	1.40845070422535	617	942.777957860616	0.939647807209246	15	603
GCF_005083105_1	642180	0.241794954862907	90.1408450704225	-1.0	604	948.600993377483	0.940546264287272	7	596
GCF_005083345_1	641028	0.248759672990514	91.5492957746479	1.40845070422535	602	947.247508305648	0.939116544051118	4	592
GCF_005083565_1	653487	0.245000573986913	90.1408450704225	1.40845070422535	594	952.818181818182	0.90896988004352	10	587
GCF_009068925_1	628324	0.254014491646292	90.1408450704225	1.40845070422535	587	955.773424190801	0.934231383808354	4	582
GCF_009069125_1	634931	0.242045520776396	91.5492957746479	1.40845070422535	594	957.383838383838	0.935534727395575	2	587
GCF_900560745_1	449035	0.240301548946026	83.0985915492958	1.40845070422535	382	980.568062827225	0.85071319607603	22	381
GCF_900698845_1	453442	0.240449294476227	83.0985915492958	1.40845070422535	395	953.886075949367	0.871114718089634	6	390
GCF_900698865_1	442566	0.238155616730629	81.6901408450704	1.40845070422535	390	953.638461538462	0.88122449532951	11	384
GCF_900698895_1	442268	0.212828548687614	83.0985915492958	1.40845070422535	388	968.041237113402	0.877296119095209	8	386
GCF_900698905_1	442321	0.234236413663998	83.0985915492958	1.40845070422535	382	974.01832460733	0.863626190029413	3	381
GCF_900698915_1	445468	0.213277419586574	83.0985915492958	1.40845070422535	389	970.835475578406	0.8732389307425	5	386
GCF_900698945_1	445611	0.224373921376329	83.0985915492958	1.40845070422535	387	964.263565891473	0.868470482102103	7	385
GCF_900698975_1	453978	0.237324239961054	81.6901408450704	1.40845070422535	389	969.532133676093	0.856869716153646	4	387
GCF_900699025_1	458254	0.242689943597534	83.0985915492958	1.40845070422535	390	977.146153846154	0.851056401035234	7	388
GCF_900699035_1	443818	0.22019252002037	81.6901408450704	1.40845070422535	382	974.489528795812	0.860713175220473	1	380
